City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Guerrero Negro,27.9769,-114.0611,59.81,85,0,14.45,MX,2021-04-03 03:12:02
115,Thompson,55.7435,-97.8558,41.0,52,1,11.5,CA,2021-04-03 03:15:34
116,Cayenne,4.9333,-52.3333,75.2,94,75,3.44,GF,2021-04-03 03:15:07
117,Coihaique,-45.5752,-72.0662,53.6,71,75,3.44,CL,2021-04-03 03:15:38
118,Hithadhoo,-0.6,73.0833,84.06,73,17,17.65,MV,2021-04-03 03:15:59
119,Izhma,65.0083,53.9113,20.43,97,88,2.08,RU,2021-04-03 03:21:52
120,Pangnirtung,66.1451,-65.7125,-18.18,67,1,6.91,CA,2021-04-03 03:15:58
121,El Dorado,38.7666,-120.5177,64.4,27,1,3.44,US,2021-04-03 03:21:53
122,Coquimbo,-29.9533,-71.3436,57.2,88,0,6.91,CL,2021-04-03 03:15:12
123,Hofn,64.2539,-15.2082,44.11,72,0,8.79,IS,2021-04-03 03:21:53
124,Nanchong,30.7951,106.0847,54.3,83,100,6.69,CN,2021-04-03 03:21:53
125,Vaini,-21.2,-175.2,82.4,78,75,5.75,TO,2021-04-03 03:15:09
126,Cape Town,-33.9258,18.4232,57.99,87,0,3.44,ZA,2021-04-03 03:14:14
127,Isabela,6.7085,121.9711,87.8,74,75,9.22,PH,2021-04-03 03:21:54
128,Beyneu,45.3167,55.2,46.72,81,0,13.06,KZ,2021-04-03 03:15:26
129,Qaanaaq,77.484,-69.3632,-17.46,88,100,11.95,GL,2021-04-03 03:15:41
130,Ocean City,39.2776,-74.5746,36.0,43,1,5.75,US,2021-04-03 03:19:35
131,Roald,62.5833,6.1333,39.2,65,90,9.22,NO,2021-04-03 03:20:36
132,Boulder City,35.9786,-114.8325,75.99,13,1,6.91,US,2021-04-03 03:21:55
133,Guanica,17.9716,-66.908,75.99,86,100,1.99,PR,2021-04-03 03:21:55
134,Atuona,-9.8,-139.0333,80.71,80,52,15.41,PF,2021-04-03 03:15:13
135,Codrington,-38.2667,141.9667,89.26,19,0,16.84,AU,2021-04-03 03:16:04
136,Beringovskiy,63.05,179.3167,9.05,84,100,12.73,RU,2021-04-03 03:15:53
137,Kodiak,57.79,-152.4072,41.0,56,75,9.22,US,2021-04-03 03:15:17
138,Haines Junction,60.7522,-137.5108,28.4,40,99,3.44,CA,2021-04-03 03:21:55
139,Maroantsetra,-15.4333,49.7333,74.89,88,100,5.28,MG,2021-04-03 03:21:56
140,Chokurdakh,70.6333,147.9167,-2.94,94,55,1.14,RU,2021-04-03 03:15:39
141,Hasaki,35.7333,140.8333,68.0,49,75,8.05,JP,2021-04-03 03:15:11
142,Kozhevnikovo,56.2589,83.9714,33.01,89,100,10.0,RU,2021-04-03 03:21:56
143,Saint-Philippe,-21.3585,55.7679,77.0,88,75,10.36,RE,2021-04-03 03:15:37
144,Moerai,-22.4333,-151.3333,79.41,73,8,18.99,PF,2021-04-03 03:17:18
145,Noumea,-22.2763,166.4572,79.0,100,75,13.8,NC,2021-04-03 03:20:43
146,Smidovich,48.6,133.8167,40.33,29,43,26.42,RU,2021-04-03 03:21:56
147,Xacmaz,41.4635,48.806,50.4,72,100,6.13,AZ,2021-04-03 03:21:57
148,Chapais,49.7834,-74.8492,15.8,53,1,6.91,CA,2021-04-03 03:15:33
149,De Haan,51.272,3.0429,44.01,70,75,16.11,BE,2021-04-03 03:21:57
150,Tiksi,71.6872,128.8694,-12.68,99,100,8.57,RU,2021-04-03 03:16:25
151,Skjervoy,70.0311,20.9714,34.81,76,100,22.26,NO,2021-04-03 03:20:43
152,Cidreira,-30.1811,-50.2056,69.73,79,73,13.91,BR,2021-04-03 03:18:28
153,Arlit,18.7369,7.3853,68.61,13,0,5.48,NE,2021-04-03 03:20:41
154,Bathsheba,13.2167,-59.5167,77.0,61,40,19.57,BB,2021-04-03 03:20:16
155,Gamba,-2.65,10.0,77.31,87,100,3.49,GA,2021-04-03 03:21:58
156,Nizhniy Kuranakh,58.8353,125.4869,15.46,67,100,5.66,RU,2021-04-03 03:21:58
157,Saint-Augustin,51.226,-58.6502,35.29,99,100,7.43,CA,2021-04-03 03:15:22
158,Igbon,11.2142,123.1655,82.02,71,41,11.77,PH,2021-04-03 03:21:58
159,North Bend,43.4065,-124.2243,48.99,87,1,13.8,US,2021-04-03 03:21:58
160,Pyapon,16.2833,95.6833,87.1,56,100,7.07,MM,2021-04-03 03:21:59
161,Coihueco,-36.6167,-71.8333,55.4,88,0,4.61,CL,2021-04-03 03:15:19
162,Togur,58.3631,82.8265,33.46,98,100,12.15,RU,2021-04-03 03:21:59
163,Tabou,4.423,-7.3528,78.6,90,92,6.76,CI,2021-04-03 03:20:35
164,Byron Bay,-28.65,153.6167,73.4,68,90,14.97,AU,2021-04-03 03:16:10
165,Krasnoarmeysk,51.0239,45.6969,35.01,79,22,1.99,RU,2021-04-03 03:21:59
166,Campo Grande,-20.4428,-54.6464,75.2,69,40,5.75,BR,2021-04-03 03:22:00
167,Mega,4.05,38.3,58.59,86,56,6.8,ET,2021-04-03 03:22:00
168,Richards Bay,-28.783,32.0377,71.49,82,100,16.22,ZA,2021-04-03 03:16:52
169,Kirakira,-10.4544,161.9205,86.07,68,70,8.1,SB,2021-04-03 03:16:25
170,Klaksvik,62.2266,-6.589,42.8,93,90,14.97,FO,2021-04-03 03:15:10
171,Kloulklubed,7.0419,134.2556,87.8,62,75,9.22,PW,2021-04-03 03:15:25
172,Komsomolskiy,40.4272,71.7189,42.8,45,0,2.3,UZ,2021-04-03 03:17:01
173,Cochrane,51.1834,-114.4687,44.01,36,1,4.61,CA,2021-04-03 03:22:01
174,Muros,42.7762,-9.0603,54.0,91,50,4.0,ES,2021-04-03 03:22:01
175,Prince Albert,53.2001,-105.7677,35.6,41,90,2.3,CA,2021-04-03 03:21:03
